,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
32533,0.561,0.5628,0.526,0.853,0.471,0.37,0.709,0.024,0.137,0.607
20665,0.698,0.241,0.51,0.141,0.195,0.718,0.092,0.628,0.54,0.216
3347,0.719,0.615,0.462,0.301,0.167,0.961,0.319,0.466,0.903,0.832
33492,0.835,0.606,0.857,0.085,0.157,0.798,0.984,0.553,0.202,0.268
11388,0.852,0.57,0.642,0.119,0.956,0.271,0.253,0.913,0.094,0.589
1714,0.516,0.579,0.397,0.17,0.456,0.79,0.163,0.064,0.398,0.571
20649,0.492,0.5192,0.232,0.764,0.575,0.751,0.972,0.896,0.217,0.017
23900,0.363,0.533,0.529,0.939,0.155,0.236,0.57,0.789,0.554,0.44
34589,0.433,0.652,0.076,0.319,0.212,0.625,0.056,0.576,0.417,0.822
24458,0.748,0.20040000000000005,0.845,0.053,0.555,0.385,0.528,0.029,0.682,0.376
9933,0.797,0.362,0.335,0.225,0.814,0.209,0.92,0.098,0.913,0.125
7456,0.703,0.472,0.721,0.434,0.83,0.706,0.632,0.226,0.906,0.338
19412,0.226,0.24219999999999997,0.397,0.191,0.258,0.212,0.506,0.046,0.007,0.193
11380,0.332,0.4548,0.228,0.213,0.31,0.386,0.425,0.296,0.725,0.758
16290,0.148,0.3432,0.969,0.464,0.673,0.201,0.804,0.618,0.269,0.767
19913,0.456,0.7096,0.159,0.82,0.243,0.929,0.863,0.41,0.088,0.829
16358,0.934,0.082,0.6,0.137,0.172,0.109,0.67,0.92,0.324,0.855
40239,0.653,0.54,0.859,0.233,0.677,0.712,0.02,0.917,0.263,0.22
25840,0.646,0.185,0.786,0.347,0.189,0.24,0.081,0.819,0.436,0.55
36170,0.921,0.6496,0.274,0.568,0.624,0.526,0.64,0.034,0.731,0.159
15159,0.664,0.42300000000000004,0.368,0.668,0.594,0.461,0.238,0.075,0.418,0.129
2583,0.798,0.589,0.095,0.981,0.843,0.413,0.904,0.642,0.497,0.217
26497,0.197,0.095,0.475,0.232,0.177,0.452,0.404,0.387,0.409,0.545
9233,0.794,0.68,0.045,0.797,0.747,0.063,0.638,0.261,0.349,0.749
12951,0.894,0.09,0.283,0.575,0.889,0.268,0.668,0.93,0.711,0.498
26975,0.904,0.6148,0.783,0.457,0.709,0.561,0.323,0.661,0.3,0.019
1729,0.335,0.422,0.019,0.495,0.075,0.753,0.267,0.219,0.348,0.038
6916,0.185,0.5502,0.853,0.923,0.281,0.795,0.937,0.465,0.935,0.066
35156,0.808,0.745,0.461,0.962,0.053,0.186,0.417,0.885,0.654,0.821
30419,0.682,0.197,0.092,0.725,0.977,0.291,0.0,0.987,0.331,0.928
3971,0.673,0.5864,0.546,0.857,0.358,0.211,0.302,0.442,0.77,0.926
29936,0.161,0.484,0.158,0.899,0.98,0.875,0.794,0.365,0.352,0.21
30130,0.513,0.35,0.482,0.736,0.105,0.067,0.828,0.566,0.215,0.379
2559,0.164,0.208,0.949,0.324,0.87,0.182,0.08,0.891,0.387,0.662
18387,0.793,0.254,0.42,0.946,0.969,0.386,0.143,0.76,0.634,0.381
6180,0.896,0.527,0.178,0.767,0.802,0.935,0.792,0.629,0.48,0.883
20000,0.334,0.5118,0.295,0.703,0.264,0.415,0.025,0.691,0.127,0.835
3503,0.97,0.744,0.033,0.846,0.159,0.565,0.299,0.236,0.073,0.414
3366,0.117,0.3898,0.728,0.31,0.25,0.401,0.74,0.845,0.323,0.559
26089,0.363,0.6659999999999999,0.997,0.195,0.392,0.043,0.332,0.555,0.324,0.695
2684,0.109,0.074,0.66,0.0,0.072,0.666,0.672,0.512,0.305,0.475
35380,0.65,0.529,0.584,0.933,0.945,0.12,0.283,0.821,0.314,0.541
34862,0.583,0.574,0.672,0.085,0.88,0.564,0.656,0.767,0.362,0.551
21036,0.975,0.415,0.572,0.44,0.065,0.026,0.992,0.184,0.387,0.317
4935,0.921,0.5904,0.369,0.8,0.526,0.462,0.088,0.934,0.888,0.806
33907,0.353,0.977,0.813,0.677,0.834,0.778,0.061,0.352,0.11,0.717
23254,0.343,0.6344,0.631,0.337,0.439,0.005,0.747,0.645,0.997,0.88
20005,0.328,0.49759999999999993,0.786,0.638,0.584,0.27,0.124,0.458,0.316,0.611
12410,0.986,0.398,0.204,0.686,0.887,0.354,0.611,0.485,0.824,0.745
29838,0.316,0.5158,0.175,0.107,0.474,0.833,0.985,0.28,0.634,0.211
23304,0.064,0.4478,0.37,0.891,0.429,0.493,0.625,0.744,0.475,0.258
24809,0.649,0.47620000000000007,0.367,0.427,0.391,0.533,0.977,0.23,0.15,0.76
28252,0.778,0.5664,0.709,0.31,0.663,0.727,0.522,0.978,0.572,0.08
21347,0.827,0.377,0.264,0.086,0.787,0.277,0.916,0.557,0.232,0.34
9456,0.204,0.4612,0.897,0.985,0.457,0.71,0.706,0.944,0.23,0.242
13559,0.41,0.089,0.44,0.198,0.75,0.259,0.409,0.451,0.098,0.144
18999,0.498,0.233,0.453,0.368,0.1,0.323,0.735,0.141,0.907,0.435
38587,0.385,0.552,0.332,0.995,0.05,0.929,0.164,0.088,0.742,0.723
16971,0.468,0.7032,0.468,0.546,0.399,0.121,0.126,0.354,0.747,0.326
26443,0.751,0.6046,0.944,0.488,0.46,0.722,0.406,0.119,0.553,0.938
7940,0.217,0.786,0.866,0.968,0.871,0.142,0.112,0.276,0.06,0.382
26095,0.798,0.123,0.817,0.993,0.122,0.935,0.941,0.7,0.508,0.767
23592,0.125,0.5771999999999999,0.772,0.87,0.593,0.651,0.114,0.039,0.753,0.566
12764,0.129,0.5702,0.026,0.242,0.293,0.448,0.381,0.804,0.113,0.832
9509,0.869,0.426,0.521,0.748,0.576,0.585,0.738,0.317,0.632,0.223
39926,0.777,0.3106,0.768,0.024,0.711,0.468,0.268,0.762,0.09,0.081
31201,0.99,0.495,0.641,0.47,0.098,0.694,0.014,0.826,0.399,0.243
30415,0.275,0.554,0.643,0.777,0.496,0.608,0.388,0.562,0.797,0.089
25367,0.953,0.30379999999999996,0.248,0.694,0.24,0.783,0.736,0.984,0.666,0.973
34688,0.914,0.088,0.102,0.805,0.035,0.532,0.827,0.898,0.598,0.981
16381,0.234,0.5526,0.816,0.338,0.494,0.589,0.3,0.831,0.183,0.935
14638,0.046,0.427,0.655,0.431,0.027,0.812,0.895,0.296,0.355,0.469
21085,0.348,0.4896,0.173,0.972,0.29,0.543,0.07,0.398,0.504,0.122
27802,0.518,0.4598,0.032,0.118,0.297,0.897,0.398,0.887,0.938,0.032
10439,0.226,0.6118,0.765,0.757,0.484,0.876,0.456,0.98,0.187,0.522
23214,0.995,0.7132,0.419,0.086,0.371,0.169,0.412,0.146,0.466,0.984
19543,0.219,0.352,0.858,0.505,0.895,0.351,0.964,0.578,0.01,0.397
27735,0.487,0.45099999999999996,0.59,0.016,0.489,0.746,0.925,0.12,0.484,0.111
3334,0.315,0.5034,0.365,0.516,0.406,0.859,0.002,0.459,0.356,0.38
26142,0.294,0.279,0.751,0.715,0.892,0.048,0.729,0.979,0.818,0.201
5718,0.915,0.35,0.275,0.576,0.038,0.949,0.813,0.455,0.964,0.411
25509,0.784,0.502,0.562,0.712,0.613,0.589,0.487,0.74,0.492,0.42
7278,0.545,0.432,0.528,0.718,0.137,0.399,0.855,0.84,0.439,0.321
20261,0.718,0.99,0.233,0.262,0.739,0.689,0.978,0.106,0.192,0.18
24352,0.035,0.5333999999999999,0.755,0.408,0.252,0.803,0.366,0.247,0.759,0.825
2171,0.423,0.5025999999999999,0.412,0.472,0.243,0.95,0.67,0.747,0.214,0.037
6564,0.394,0.493,0.696,0.597,0.707,0.993,0.852,0.194,0.676,0.635
6842,0.853,0.4152,0.612,0.914,0.567,0.736,0.542,0.196,0.497,0.192
32500,0.628,0.817,0.722,0.497,0.196,0.634,0.995,0.856,0.883,0.413
28917,0.039,0.41880000000000006,0.631,0.478,0.286,0.493,0.437,0.216,0.577,0.689
17679,0.855,0.5352,0.964,0.547,0.721,0.126,0.593,0.533,0.978,0.544
10123,0.443,0.649,0.074,0.767,0.387,0.561,0.37,0.834,0.807,0.061
25946,0.872,0.5,0.854,0.658,0.746,0.043,0.33,0.609,0.414,0.78
411,0.277,0.5406,0.837,0.056,0.544,0.945,0.841,0.128,0.605,0.67
12891,0.876,0.753,0.415,0.115,0.745,0.109,0.595,0.538,0.949,0.871
26712,0.015,0.5673999999999999,0.324,0.632,0.51,0.42,0.199,0.363,0.41,0.06
31522,0.252,0.4814,0.256,0.906,0.253,0.469,0.395,0.161,0.27,0.406
23226,0.741,0.013,0.123,0.529,0.993,0.794,0.812,0.345,0.203,0.755
32461,0.459,0.045,0.991,0.572,0.015,0.732,0.648,0.268,0.207,0.899
39417,0.962,0.5474,0.956,0.911,0.661,0.867,0.021,0.513,0.422,0.987
5973,0.258,0.197,0.123,0.498,0.037,0.522,0.943,0.502,0.713,0.72
7422,0.497,0.477,0.099,0.668,0.095,0.448,0.325,0.895,0.504,0.487
6239,0.238,0.44480000000000003,0.153,0.097,0.282,0.841,0.235,0.233,0.812,0.059
1944,0.943,0.57,0.194,0.862,0.49,0.562,0.498,0.004,0.864,0.986
31228,0.206,0.418,0.253,0.075,0.213,0.24,0.599,0.636,0.462,0.824
21531,0.756,0.986,0.236,0.493,0.08,0.679,0.336,0.051,0.845,0.349
21041,0.481,0.205,0.487,0.462,0.876,0.448,0.888,0.953,0.979,0.971
14702,0.896,0.846,0.03,0.87,0.736,0.783,0.204,0.768,0.109,0.105
21716,0.743,0.788,0.922,0.278,0.201,0.089,0.947,0.344,0.002,0.018
31791,0.105,0.066,0.367,0.712,0.803,0.828,0.853,0.574,0.083,0.292
31782,0.205,0.473,0.666,0.905,0.514,0.599,0.657,0.694,0.358,0.613
32727,0.984,0.738,0.147,0.69,0.815,0.365,0.64,0.693,0.581,0.632
30262,0.424,0.5364,0.095,0.561,0.279,0.897,0.557,0.727,0.852,0.304
17258,0.369,0.67,0.413,0.947,0.806,0.612,0.479,0.127,0.647,0.484
37463,0.56,0.4668,0.349,0.736,0.258,0.953,0.243,0.067,0.213,0.726
18911,0.41,0.6298,0.135,0.265,0.55,0.525,0.245,0.939,0.817,0.702
29517,0.693,0.5944,0.145,0.269,0.565,0.179,0.921,0.133,0.901,0.419
17025,0.109,0.5207999999999999,0.178,0.521,0.461,0.758,0.131,0.333,0.711,0.921
40437,0.49,0.044,0.042,0.908,0.092,0.32,0.609,0.166,0.148,0.973
26004,0.186,0.5636,0.323,0.686,0.627,0.531,0.156,0.386,0.716,0.952
37690,0.14,0.654,0.604,0.801,0.157,0.644,0.804,0.681,0.349,0.569
11598,0.491,0.013,0.369,0.241,0.83,0.129,0.453,0.637,0.805,0.691
741,0.566,0.43820000000000003,0.428,0.836,0.582,0.347,0.635,0.543,0.757,0.726
38582,0.879,0.235,0.924,0.654,0.981,0.17,0.865,0.72,0.137,0.508
34774,0.311,0.976,0.707,0.238,0.95,0.733,0.519,0.843,0.116,0.143
36002,0.532,0.181,0.689,0.584,0.85,0.61,0.48,0.524,0.963,0.236
103,0.42,0.859,0.079,0.63,0.197,0.682,0.969,0.413,0.835,0.673
8650,0.392,0.304,0.162,0.514,0.918,0.673,0.833,0.368,0.268,0.509
38427,0.604,0.745,0.844,0.188,0.202,0.029,0.914,0.872,0.162,0.748
25205,0.645,0.5646,0.749,0.248,0.312,0.078,0.089,0.899,0.472,0.064
38543,0.185,0.657,0.505,0.509,0.302,0.269,0.628,0.043,0.209,0.874
25680,0.646,0.488,0.78,0.106,0.002,0.352,0.259,0.158,0.505,0.408
21568,0.458,0.4492,0.842,0.333,0.61,0.825,0.731,0.799,0.718,0.317
16505,0.342,0.2848,0.179,0.895,0.238,0.386,0.232,0.311,0.143,0.904
6745,0.761,0.611,0.56,0.377,0.691,0.739,0.179,0.778,0.367,0.247
13271,0.208,0.4922000000000001,0.827,0.691,0.463,0.239,0.949,0.221,0.594,0.467
7558,0.511,0.741,0.946,0.924,0.103,0.822,0.169,0.209,0.72,0.07
1422,0.887,0.4236,0.05,0.862,0.292,0.332,0.287,0.446,0.026,0.98
37671,0.072,0.3756,0.93,0.277,0.281,0.567,0.224,0.452,0.601,0.508
2579,0.465,0.464,0.86,0.671,0.757,0.176,0.109,0.679,0.714,0.721
19711,0.899,0.6028,0.684,0.04,0.334,0.095,0.359,0.983,0.629,0.189
21321,0.907,0.4394,0.669,0.066,0.328,0.638,0.902,0.074,0.462,0.33
36306,0.208,0.445,0.97,0.149,0.217,0.275,0.34,0.961,0.063,0.013
20088,0.813,0.3804,0.174,0.117,0.453,0.474,0.72,0.151,0.699,0.196
22617,0.689,0.5152,0.165,0.438,0.408,0.587,0.962,0.224,0.827,0.12
26428,0.437,0.457,0.597,0.231,0.767,0.056,0.882,0.079,0.787,0.696
23575,0.735,0.49640000000000006,0.342,0.995,0.71,0.069,0.057,0.328,0.308,0.499
33022,0.987,0.436,0.465,0.369,0.197,0.59,0.273,0.556,0.02,0.058
26161,0.985,0.368,0.903,0.779,0.414,0.423,0.169,0.639,0.627,0.256
31466,0.378,0.42919999999999997,0.864,0.214,0.237,0.068,0.516,0.035,0.771,0.678
33891,0.492,0.5534,0.668,0.458,0.382,0.19,0.317,0.333,0.275,0.173
33476,0.336,0.518,0.942,0.876,0.897,0.084,0.759,0.296,0.184,0.173
23152,0.119,0.283,0.986,0.94,0.959,0.645,0.462,0.091,0.151,0.458
23887,0.831,0.5616,0.877,0.643,0.391,0.635,0.456,0.119,0.581,0.943
39506,0.776,0.3284,0.46,0.222,0.584,0.851,0.68,0.16,0.393,0.942
3686,0.128,0.667,0.994,0.646,0.737,0.664,0.797,0.774,0.394,0.311
291,0.947,0.5484,0.823,0.428,0.612,0.993,0.457,0.537,0.2,0.684
7720,0.967,0.4772,0.924,0.944,0.517,0.989,0.179,0.268,0.723,0.08
29927,0.544,0.828,0.135,0.399,0.035,0.883,0.465,0.761,0.369,0.137
26749,0.32,0.5227999999999999,0.097,0.316,0.435,0.355,0.712,0.995,0.92,0.087
2085,0.059,0.6933999999999999,0.626,0.498,0.676,0.818,0.37,0.502,0.759,0.4
38863,0.732,0.886,0.704,0.782,0.1,0.037,0.167,0.648,0.315,0.928
1584,0.065,0.392,0.128,0.864,0.693,0.752,0.256,0.116,0.865,0.494
6453,0.386,0.189,0.387,0.477,0.122,0.156,0.411,0.385,0.064,0.296
11747,0.936,0.516,0.803,0.412,0.443,0.059,0.17,0.358,0.658,0.844
24023,0.329,0.773,0.369,0.43,0.978,0.14,0.391,0.703,0.784,0.608
30601,0.148,0.079,0.906,0.149,0.93,0.672,0.893,0.023,0.843,0.89
38723,0.848,0.024,0.448,0.115,0.726,0.918,0.35,0.136,0.725,0.128
28421,0.611,0.182,0.193,0.247,0.032,0.366,0.549,0.775,0.707,0.908
39345,0.234,0.4554,0.128,0.201,0.44,0.368,0.497,0.627,0.467,0.587
28042,0.441,0.6184000000000001,0.016,0.198,0.339,0.039,0.886,0.233,0.242,0.675
24593,0.876,0.502,0.589,0.512,0.621,0.887,0.571,0.594,0.139,0.538
16612,0.343,0.7190000000000001,0.639,0.761,0.585,0.334,0.297,0.466,0.183,0.755
20988,0.686,0.568,0.107,0.434,0.988,0.959,0.826,0.615,0.921,0.488
20004,0.499,0.659,0.699,0.551,0.798,0.802,0.871,0.524,0.74,0.672
1765,0.285,0.001,0.742,0.103,0.082,0.191,0.86,0.699,0.9,0.656
21296,0.978,0.5908,0.771,0.069,0.456,0.508,0.914,0.625,0.191,0.084
19345,0.71,0.5502,0.825,0.523,0.494,0.174,0.047,0.042,0.668,0.57
17935,0.89,0.5884,0.755,0.776,0.688,0.142,0.582,0.056,0.783,0.644
21830,0.952,0.7362,0.645,0.172,0.509,0.612,0.59,0.245,0.123,0.224
36972,0.547,0.41479999999999995,0.287,0.521,0.588,0.649,0.795,0.889,0.429,0.945
21331,0.221,0.747,0.14,0.943,0.073,0.516,0.494,0.395,0.39,0.016
34297,0.563,0.204,0.252,0.279,0.96,0.253,0.388,0.801,0.653,0.031
4303,0.652,0.413,0.301,0.373,0.794,0.541,0.342,0.488,0.895,0.358
30915,0.208,0.557,0.476,0.38,0.995,0.384,0.204,0.767,0.346,0.728
23278,0.659,0.5228,0.158,0.269,0.224,0.763,0.152,0.128,0.577,0.605
37524,0.676,0.33219999999999994,0.861,0.911,0.716,0.883,0.815,0.766,0.368,0.137
8868,0.202,0.5152,0.132,0.648,0.308,0.558,0.696,0.855,0.137,0.35
19444,0.234,0.6442,0.723,0.873,0.33,0.22,0.416,0.024,0.607,0.54
7976,0.922,0.16360000000000002,0.122,0.65,0.401,0.045,0.062,0.877,0.475,0.871
15631,0.323,0.23440000000000003,0.334,0.212,0.545,0.286,0.281,0.591,0.883,0.6
5878,0.123,0.3922,0.878,0.991,0.608,0.697,0.012,0.929,0.312,0.419
25393,0.681,0.486,0.391,0.713,0.845,0.051,0.507,0.526,0.628,0.277
22428,0.427,0.5798,0.81,0.846,0.529,0.658,0.57,0.888,0.942,0.995
22514,0.866,0.046,0.982,0.939,0.137,0.189,0.249,0.066,0.587,0.749
7050,0.558,0.721,0.508,0.944,0.034,0.27,0.202,0.641,0.485,0.489
5894,0.02,0.208,0.974,0.02,0.068,0.386,0.587,0.126,0.514,0.078
33241,0.693,0.104,0.665,0.427,0.843,0.678,0.087,0.461,0.917,0.471
39473,0.504,0.31720000000000004,0.77,0.465,0.671,0.664,0.069,0.649,0.34,0.169
27003,0.073,0.909,0.361,0.548,0.894,0.027,0.749,0.812,0.375,0.718
16463,0.062,0.478,0.397,0.256,0.084,0.742,0.399,0.639,0.066,0.928
4104,0.834,0.299,0.975,0.551,0.139,0.738,0.563,0.298,0.451,0.709
12506,0.637,0.3084,0.521,0.746,0.258,0.999,0.187,0.123,0.729,0.541
7926,0.454,0.446,0.668,0.032,0.506,0.739,0.516,0.766,0.355,0.512
19458,0.111,0.586,0.387,0.989,0.19,0.443,0.564,0.095,0.473,0.813
7001,0.97,0.4312,0.477,0.29,0.267,0.722,0.76,0.691,0.555,0.348
31903,0.548,0.4683999999999999,0.098,0.36,0.342,0.85,0.103,0.65,0.906,0.306
33664,0.217,0.6998,0.016,0.527,0.308,0.878,0.645,0.913,0.583,0.71
29589,0.487,0.087,0.005,0.567,0.916,0.665,0.296,0.444,0.052,0.787
2797,0.255,0.5913999999999999,0.58,0.538,0.268,0.123,0.069,0.777,0.516,0.907
30083,0.241,0.591,0.316,0.215,0.839,0.419,0.899,0.401,0.439,0.41
7430,0.395,0.7076,0.885,0.357,0.531,0.096,0.512,0.933,0.697,0.443
12236,0.24,0.002,0.082,0.228,0.03,0.619,0.525,0.118,0.836,0.824
7225,0.48,0.7716000000000001,0.695,0.313,0.266,0.011,0.943,0.106,0.233,0.726
25324,0.754,0.3392,0.748,0.949,0.413,0.531,0.611,0.224,0.687,0.032
36962,0.492,0.627,0.469,0.027,0.86,0.61,0.479,0.045,0.244,0.007
12377,0.397,0.531,0.735,0.353,0.847,0.248,0.87,0.839,0.615,0.227
21546,0.026,0.6422000000000001,0.328,0.88,0.601,0.717,0.22,0.138,0.792,0.477
6308,0.795,0.6641999999999999,0.29,0.821,0.698,0.707,0.247,0.174,0.539,0.157
28968,0.771,0.662,0.535,0.442,0.758,0.089,0.124,0.962,0.626,0.743
40505,0.325,0.551,0.632,0.548,0.925,0.617,0.82,0.969,0.569,0.01
25392,0.026,0.6506000000000001,0.257,0.597,0.272,0.522,0.139,0.672,0.878,0.607
25113,0.569,0.122,0.13,0.284,0.73,0.074,0.682,0.159,0.259,0.303
1216,0.415,0.5508,0.169,0.517,0.632,0.13,0.112,0.891,0.608,0.532
2549,0.517,0.66,0.511,0.201,0.815,0.644,0.302,0.571,0.876,0.455
11773,0.845,0.3798,0.406,0.714,0.501,0.528,0.124,0.679,0.47,0.637
37955,0.217,0.5498,0.439,0.781,0.429,0.272,0.77,0.127,0.351,0.93
28040,0.959,0.142,0.239,0.782,0.051,0.594,0.777,0.722,0.984,0.184
27261,0.959,0.6399999999999999,0.017,0.723,0.466,0.045,0.518,0.797,0.642,0.678
25870,0.168,0.5376000000000001,0.897,0.242,0.632,0.619,0.452,0.467,0.029,0.714
2089,0.376,0.228,0.427,0.633,0.183,0.081,0.635,0.694,0.874,0.696
16046,0.4,0.5814,0.064,0.658,0.52,0.704,0.73,0.552,0.271,0.931
4739,0.249,0.345,0.251,0.324,0.012,0.653,0.566,0.566,0.133,0.376
4286,0.361,0.727,0.165,0.425,0.058,0.164,0.977,0.73,0.289,0.916
19499,0.068,0.6842,0.571,0.537,0.528,0.806,0.911,0.719,0.418,0.798
26023,0.752,0.6094,0.75,0.981,0.256,0.648,0.772,0.465,0.266,0.541
14617,0.833,0.02,0.198,0.048,0.806,0.797,0.575,0.87,0.707,0.794
10688,0.184,0.40099999999999997,0.844,0.88,0.407,0.883,0.424,0.771,0.437,0.079
38008,0.095,0.6587999999999999,0.913,0.534,0.536,0.689,0.838,0.081,0.645,0.126
29160,0.033,0.399,0.943,0.757,0.835,0.393,0.511,0.121,0.03,0.192
16629,0.594,0.44299999999999995,0.519,0.527,0.426,0.514,0.258,0.839,0.012,0.133
19237,0.226,0.4166,0.538,0.437,0.48,0.935,0.802,0.567,0.13,0.177
38284,0.765,0.405,0.345,0.076,0.185,0.023,0.983,0.111,0.405,0.106
27515,0.274,0.449,0.936,0.033,0.39,0.123,0.602,0.531,0.939,0.345
12139,0.772,0.937,0.379,0.541,0.93,0.822,0.087,0.632,0.646,0.74
17348,0.13,0.3246,0.299,0.668,0.677,0.051,0.6,0.567,0.548,0.245
4438,0.273,0.4328,0.24,0.574,0.439,0.112,0.623,0.047,0.75,0.895
10557,0.91,0.769,0.732,0.142,0.822,0.869,0.955,0.461,0.609,0.449
23449,0.778,0.4364,0.919,0.405,0.548,0.769,0.481,0.913,0.093,0.794
7202,0.789,0.6264,0.481,0.383,0.249,0.395,0.891,0.854,0.415,0.31
539,0.143,0.6196,0.408,0.654,0.554,0.361,0.409,0.454,0.89,0.942
4702,0.026,0.549,0.2,0.744,0.505,0.864,0.051,0.903,0.286,0.768
1827,0.678,0.496,0.391,0.758,0.91,0.839,0.217,0.017,0.545,0.213
5453,0.32,0.538,0.546,0.074,0.768,0.429,0.108,0.758,0.651,0.707
8832,0.131,0.633,0.407,0.808,0.93,0.434,0.784,0.591,0.154,0.683
13744,0.128,0.901,0.671,0.31,0.174,0.795,0.923,0.396,0.722,0.012
32668,0.679,0.367,0.567,0.082,0.039,0.276,0.619,0.345,0.483,0.048
31633,0.574,0.7986000000000001,0.389,0.837,0.379,0.776,0.882,0.887,0.122,0.263
26474,0.694,0.4586,0.222,0.594,0.571,0.826,0.951,0.746,0.861,0.024
31158,0.807,0.4048,0.771,0.381,0.487,0.492,0.713,0.534,0.103,0.471
1870,0.635,0.47540000000000004,0.66,0.919,0.716,0.854,0.722,0.322,0.446,0.701
40308,0.084,0.25,0.796,0.08,0.07,0.586,0.102,0.113,0.045,0.387
19679,0.587,0.4306,0.824,0.582,0.522,0.131,0.258,0.103,0.777,0.42
21055,0.817,0.701,0.746,0.902,0.16,0.792,0.735,0.812,0.887,0.628
23873,0.467,0.54,0.566,0.916,0.081,0.067,0.938,0.698,0.163,0.392
10581,0.767,0.5936,0.034,0.987,0.591,0.223,0.098,0.786,0.129,0.118
21328,0.335,0.987,0.144,0.582,0.723,0.638,0.612,0.916,0.974,0.79
18194,0.594,0.42860000000000004,0.325,0.544,0.621,0.671,0.725,0.877,0.576,0.579
14317,0.345,0.5641999999999999,0.626,0.916,0.572,0.038,0.339,0.481,0.973,0.244
11524,0.64,0.398,0.122,0.503,0.246,0.791,0.577,0.073,0.157,0.493
12209,0.697,0.5422,0.434,0.23,0.641,0.57,0.911,0.498,0.758,0.22
21721,0.49,0.5474,0.555,0.838,0.515,0.548,0.169,0.912,0.7,0.622
35617,0.33,0.198,0.787,0.445,0.19,0.028,0.487,0.631,0.038,0.906
5927,0.613,0.46979999999999994,0.8,0.512,0.534,0.616,0.957,0.564,0.598,0.723
23182,0.502,0.5938000000000001,0.854,0.53,0.547,0.592,0.689,0.803,0.256,0.498
4678,0.663,0.235,0.776,0.157,0.774,0.246,0.315,0.003,0.621,0.017
29070,0.676,0.09,0.413,0.665,0.06,0.053,0.179,0.547,0.013,0.283
188,0.482,0.6348,0.119,0.181,0.408,0.524,0.522,0.704,0.109,0.875
31940,0.934,0.148,0.265,0.863,0.956,0.887,0.995,0.451,0.899,0.989
30166,0.992,0.346,0.144,0.005,0.168,0.69,0.175,0.038,0.668,0.864
28652,0.693,0.904,0.666,0.035,0.094,0.825,0.258,0.07,0.224,0.632
20892,0.372,0.707,0.584,0.29,0.253,0.829,0.829,0.044,0.64,0.663
22730,0.67,0.40259999999999996,0.361,0.741,0.527,0.216,0.059,0.546,0.774,0.08
18153,0.499,0.756,0.007,0.733,0.987,0.357,0.677,0.974,0.797,0.03
12273,0.782,0.335,0.44,0.863,0.956,0.855,0.319,0.529,0.346,0.17
23552,0.447,0.515,0.439,0.714,0.777,0.295,0.153,0.547,0.588,0.769
29370,0.448,0.5528000000000001,0.827,0.146,0.591,0.672,0.673,0.295,0.663,0.734
19009,0.337,0.739,0.783,0.15,0.912,0.982,0.505,0.038,0.303,0.552
20341,0.982,0.6134,0.358,0.746,0.492,0.065,0.695,0.958,0.721,0.718
19985,0.512,0.956,0.688,0.793,0.176,0.272,0.669,0.74,0.184,0.811
25100,0.833,0.771,0.703,0.95,0.008,0.252,0.01,0.399,0.627,0.056
12232,0.966,0.741,0.483,0.413,0.212,0.533,0.697,0.981,0.186,0.373
25638,0.32,0.017,0.34,0.427,0.817,0.149,0.546,0.801,0.108,0.306
9804,0.004,0.747,0.355,0.084,0.202,0.576,0.762,0.925,0.427,0.242
39564,0.172,0.395,0.981,0.586,0.733,0.889,0.801,0.692,0.986,0.899
1202,0.93,0.6068,0.122,0.302,0.283,0.732,0.28,0.709,0.592,0.689
19979,0.608,0.2964,0.894,0.452,0.581,0.425,0.082,0.489,0.439,0.643
17311,0.773,0.5112,0.713,0.883,0.359,0.035,0.323,0.756,0.316,0.254
12768,0.542,0.36079999999999995,0.016,0.432,0.259,0.83,0.258,0.837,0.342,0.613
39304,0.926,0.655,0.793,0.887,0.782,0.648,0.914,0.565,0.213,0.327
7841,0.856,0.7832,0.398,0.384,0.56,0.209,0.457,0.295,0.186,0.458
33809,0.352,0.4048,0.134,0.806,0.324,0.352,0.347,0.469,0.512,0.974
15205,0.549,0.3976,0.058,0.896,0.326,0.054,0.951,0.053,0.922,0.528
231,0.399,0.46319999999999995,0.572,0.866,0.524,0.006,0.293,0.591,0.693,0.894
2258,0.875,0.527,0.947,0.2,0.011,0.994,0.104,0.62,0.699,0.966
27664,0.094,0.643,0.669,0.785,0.473,0.943,0.185,0.755,0.547,0.015
5648,0.268,0.497,0.729,0.018,0.851,0.31,0.639,0.16,0.158,0.699
9514,0.737,0.4176,0.617,0.759,0.663,0.319,0.626,0.495,0.53,0.051
27638,0.603,0.44000000000000006,0.765,0.222,0.258,0.799,0.037,0.811,0.126,0.149
29111,0.706,0.155,0.887,0.996,0.94,0.803,0.849,0.606,0.504,0.251
24185,0.268,0.882,0.221,0.166,0.161,0.273,0.911,0.944,0.017,0.251
14257,0.825,0.5730000000000001,0.332,0.336,0.342,0.613,0.796,0.533,0.179,0.017
26702,0.042,0.4076000000000001,0.181,0.549,0.55,0.038,0.536,0.758,0.473,0.339
12583,0.609,0.6542,0.895,0.089,0.502,0.976,0.482,0.813,0.53,0.193
34913,0.461,0.5154,0.164,0.772,0.419,0.581,0.389,0.163,0.105,0.059
14696,0.724,0.6392,0.925,0.535,0.549,0.918,0.984,0.788,0.95,0.184
