,ln(VOTES/POP),POP,EDUCATION,HOUSES,INCOME,XCOORD
2656,-0.669091,9.240773,8.446127,8.284504,,-94731150.0
1720,-0.533351,8.37563,7.765145,7.315218,,-118427922.0
2164,-0.594885,12.739869,12.256062,11.675835,,-95941351.0
1972,-0.286574,8.008366,7.254885,7.088409,9.990582,-102455884.0
2272,-0.798921,12.33058,11.672959,11.330096,14.645328,-76727053.0
856,-0.509046,9.390743,8.773385,8.443331,,-94850608.0
530,-0.079565,6.259581,5.802118,5.187386,8.206311,-112375614.0
2730,-0.65246,10.843417,10.253757,9.86646,,-97598344.0
49,-0.489772,9.60272,8.737934,8.629807,,-87353102.0
858,-0.538879,10.361861,9.881855,9.412056,,-96833952.0
719,-0.578117,9.312355,8.601534,8.454466,,-86838764.0
1272,-0.521952,10.543445,9.884203,9.633973,,-83436661.0
1385,-0.536493,9.560504,8.657998,8.487352,,-89801107.0
2332,-0.403753,8.671972,8.083329,7.681099,10.76128,-103491262.0
1973,-0.319071,7.875499,7.062192,7.034388,9.764972,-99778937.0
1869,-0.684623,11.226749,10.384771,10.228068,,-81214447.0
2620,-0.393927,7.346655,6.291569,6.285998,9.153664,-100417548.0
1859,-0.935425,9.571645,8.409831,8.502283,11.429555,-76963026.0
2315,-0.704744,10.935123,9.982437,9.810495,,-80798725.0
1391,-0.482962,7.358194,6.150603,6.137727,,-90988477.0
1340,-0.338047,9.517825,8.857657,8.564458,11.651356,-95253559.0
1084,-0.678617,12.077074,11.392756,11.018252,,-93879918.0
1442,-0.412404,8.824237,7.8018,7.755767,10.493383,-91318635.0
2230,-0.655767,12.199823,11.623751,11.121023,,-80104148.0
2725,-0.845432,10.234588,9.311181,9.152711,12.440832,-96216514.0
1868,-0.924737,9.586377,8.50147,8.507143,11.531031,-79334978.0
297,-0.608379,10.699259,10.230054,9.712085,,-81857936.0
2376,-0.161043,7.843064,7.221105,6.911747,9.769099,-99949695.0
1472,-0.4287,9.260558,8.607399,8.3163,11.372916,-92813241.0
958,-0.609337,9.078179,8.222016,8.171317,,-84987520.0
2998,-0.637657,9.9361,9.087042,8.880029,,-79868127.0
2923,-0.602478,11.78794,11.328414,10.743977,,-122484295.0
1936,-0.557726,10.049102,9.07875,9.124565,,-80229627.0
349,-0.669,9.346269,8.527342,8.393216,,-83615892.0
1345,-0.345236,11.995808,11.45256,10.997556,14.266333,-92462226.0
643,-0.391562,8.411833,7.732808,7.433075,10.584031,-90478283.0
1475,-0.478951,9.080118,8.275376,8.220403,,-93020438.0
2163,-0.617955,9.070503,8.279443,8.151045,,-98920417.0
669,-0.679131,11.026695,10.383287,9.984883,,-85716444.0
2965,-0.521778,8.545003,7.721792,7.595387,,-80700569.0
1709,-0.476259,9.276222,8.784162,8.256867,,-97596756.0
1833,-0.535042,12.09671,11.659836,10.919008,,-74026692.0
2756,-0.455949,12.896441,12.44067,11.830288,15.283733,-111925494.0
2461,-0.760186,9.733411,8.779096,8.728264,11.72773,-84918053.0
1506,-0.384523,9.394826,8.721928,8.547916,11.507189,-92559702.0
1660,-0.401552,7.983781,7.478735,7.087574,10.0378,-101040424.0
786,-0.517771,9.162829,8.645059,8.197539,,-93260473.0
2791,-0.745631,10.12487,9.280333,9.219102,12.280879,-79528785.0
140,-0.755927,12.390513,11.85054,11.260327,14.70319,-92310815.0
788,-0.393893,9.083189,8.606668,8.127109,11.32283,-94391450.0
1670,-0.53329,9.007367,8.378621,8.05896,,-97880665.0
2108,-1.030924,11.267664,10.590793,9.981328,13.364624,-98463570.0
714,-0.586917,10.461903,9.850614,9.514289,,-86447292.0
1421,-0.625751,9.587886,8.651199,8.682369,,-89036823.0
3088,-0.764219,9.11394,8.593228,8.142354,11.647657,-105504181.0
1551,-0.486023,9.681656,9.089641,8.770905,,-93035899.0
1929,-0.973255,11.101085,10.070611,9.9651,13.033418,-79107083.0
618,-0.513905,10.349006,9.605822,9.441531,,-88919347.0
406,-0.778645,9.488275,8.430763,8.47512,11.453398,-82839768.0
2213,-0.728924,10.674753,10.064926,9.676838,,-76518068.0
1244,-0.438912,9.717098,9.081029,8.817594,11.865714,-86312490.0
1659,-0.277009,6.870053,6.483107,5.891644,8.867991,-101059564.0
1233,-0.39426,8.90463,8.267706,8.07496,11.019743,-85083913.0
2943,-0.414895,8.666819,8.1545,7.754482,10.726785,-117282483.0
497,-0.727127,8.726806,7.41216,7.697575,,-83426091.0
342,-0.694156,10.53715,9.952135,9.539932,,-81406762.0
2711,-0.668536,12.652046,12.052548,11.298866,,-97779406.0
2703,-0.654995,8.776476,7.913521,7.745436,,-101731838.0
782,-0.428995,11.063383,10.45184,9.982992,13.403204,-90885767.0
3029,-0.402233,10.972087,10.358124,9.823091,13.132591,-91286578.0
303,-0.73468,12.918226,12.299035,11.776643,15.175302,-81648509.0
1788,-0.432814,8.101375,7.49443,7.158514,10.245196,-103470806.0
664,-0.604365,9.297527,8.671287,8.406038,,-85322568.0
1756,-0.559284,12.848497,12.309721,11.614109,,-74308022.0
2215,-0.693726,11.565888,10.984682,10.55451,,-79912075.0
1962,-0.358883,8.540324,7.866339,7.506042,10.539694,-98493941.0
1577,-0.172174,7.053586,6.556778,6.118097,9.116689,-106988817.0
84,-0.656618,10.946728,10.301659,9.98838,,-94257842.0
2295,-0.746279,10.560826,9.913042,9.567245,12.778314,-80404485.0
941,-0.493302,8.613594,8.101072,7.675546,,-101719479.0
961,-0.643248,8.858795,7.650169,7.82963,,-83740853.0
841,-0.518415,10.297925,9.699656,9.395907,,-92409287.0
1978,-0.343826,8.4659,7.790696,7.489412,10.687503,-103388753.0
2464,-0.788408,11.004879,10.266045,9.830433,13.187087,-86416543.0
1748,-0.604656,12.998062,12.423625,11.787689,,-74409233.0
2458,-0.398144,8.048788,6.884487,7.178545,9.733826,-85079045.0
290,-0.69556,11.146041,10.515994,10.071076,,-85632422.0
2704,-0.699079,13.327363,12.746357,12.221158,,-97293284.0
1208,-0.351065,9.540795,8.995413,8.625868,11.691423,-85457546.0
604,-0.545264,10.115166,9.664723,9.105868,,-88430709.0
2127,-0.656174,8.913819,7.986845,7.935945,,-96655290.0
916,-0.376959,8.98143,8.377701,8.080237,11.062301,-96018778.0
2031,-0.629053,9.970772,9.174195,8.96252,,-82320026.0
1763,-0.448786,7.510978,6.816736,6.645091,9.451638,-104415672.0
1099,-0.419352,9.975762,8.985445,8.81789,12.079369,-91349315.0
1088,-0.403474,9.021598,7.955425,8.100161,10.990112,-91845608.0
2178,-0.42972,10.694895,10.275982,9.726273,13.023681,-121224278.0
1397,-0.58993,10.687709,9.900834,9.706012,,-89168386.0
821,-0.612961,10.238387,9.636327,9.254262,,-91113265.0
2816,-0.610032,9.455089,8.659213,8.533067,,-80697854.0
1000,-0.626304,10.192569,9.45681,9.273691,,-82920588.0
1448,-0.587974,8.764366,8.196988,7.695758,,-95433920.0
18,-0.631408,8.976389,7.960673,8.034631,,-86239249.0
1916,-0.839921,11.221008,10.588224,10.100616,13.456145,-77864928.0
1125,-0.53496,10.153429,8.973858,9.156201,,-91611972.0
1766,-0.573573,9.761463,9.11614,8.733272,,-108379315.0
1769,-0.641141,8.238537,7.532088,7.005789,,-108711794.0
1352,-0.282576,9.110631,8.421123,8.198089,11.125143,-95681915.0
1815,-0.60203,10.621254,9.948222,9.490469,,-77770368.0
1545,-0.571653,10.209611,9.355911,9.205328,,-89572246.0
1752,-0.713964,12.690315,11.967466,11.309388,,-74299702.0
3087,-0.709827,9.603125,9.081825,8.560636,,-106930485.0
2330,-0.250203,8.187577,7.591862,7.231287,10.105979,-99064599.0
2154,-0.651437,10.095347,9.343384,9.06543,,-96694030.0
1009,-0.755139,10.394335,9.519368,9.42133,12.621468,-87538358.0
360,-0.756476,8.717846,7.614805,7.783224,10.775513,-83500539.0
2650,-0.744575,9.684025,8.749415,8.721113,11.736821,-96975258.0
2452,-1.055838,10.993631,10.250546,9.751734,13.075901,-87381542.0
1198,-0.312305,9.343997,8.811056,8.476163,11.464628,-85176863.0
2844,-0.811047,9.275472,8.181441,8.125039,11.11197,-75925725.0
2683,-0.471983,9.201703,8.709135,8.289288,,-96409279.0
344,-0.580711,10.560697,9.973293,9.563318,,-87016380.0
986,-0.48745,8.838117,7.625595,7.954723,,-86245617.0
1366,-0.400709,9.095378,8.120291,8.188689,10.965574,-90800782.0
1847,-0.548085,10.542601,9.892679,9.509259,,-73430584.0
1431,-0.624723,9.28619,8.089176,8.11582,,-90171689.0
3074,-0.366188,9.821355,9.149741,8.898639,11.893681,-90833450.0
1179,-0.775197,13.261833,12.324895,11.79611,15.346701,-76610616.0
1956,-0.318378,8.800566,8.110127,7.863267,10.882997,-100840699.0
2742,-0.46767,9.579625,8.942592,8.618124,11.935955,-110582783.0
85,-0.453909,9.853877,9.183894,8.941153,11.8611,-93092833.0
2648,-0.498753,7.455298,6.54103,6.588926,,-99822558.0
668,-0.459884,10.273118,9.743025,9.32919,12.570094,-86346564.0
1014,-0.726668,11.468095,10.737179,10.362493,,-84536136.0
128,-0.671693,9.154087,8.067776,8.014005,,-91203053.0
2020,-0.606346,10.142819,9.527047,9.21084,,-81915091.0
1872,-0.893855,9.099074,8.139149,8.012681,11.087161,-76602214.0
891,-0.529725,7.842279,7.307873,6.820016,,-100872917.0
1961,-0.300859,8.589142,7.968666,7.664347,10.750064,-98463027.0
307,-0.814043,10.225281,9.275379,9.105424,12.066029,-84612367.0
383,-1.076578,10.975003,10.09146,9.427305,13.041787,-83366020.0
1977,-0.240739,8.203851,7.095893,7.336937,10.114397,-99439281.0
1226,-0.48156,12.222664,11.59958,10.928076,,-84373803.0
426,-0.797668,9.303193,8.446341,8.327726,11.471791,-84906073.0
494,-0.713155,8.316056,7.033506,7.24065,,-82565099.0
1694,-0.508876,9.484253,8.942461,8.569596,,-96633759.0
2848,-0.676264,9.549452,8.49801,8.586346,,-78481544.0
2279,-0.816868,11.201825,10.412892,10.231027,13.419139,-81638521.0
1356,-0.313051,9.181323,8.466952,8.249575,11.133201,-94958610.0
1497,-0.394831,8.299535,7.684784,7.415777,10.32325,-92149671.0
275,-0.761766,11.374422,10.722033,10.205183,13.596065,-104403026.0
489,-0.842776,8.980172,7.79688,7.753194,10.855937,-84435892.0
1451,-0.439819,9.033603,8.305978,8.127405,11.021396,-94343579.0
690,-0.473426,9.831669,9.173365,8.954674,,-86115724.0
1422,-0.724978,9.734181,8.718173,8.77925,,-88518589.0
1712,-0.672091,9.573594,9.283219,8.573574,,-119613672.0
1494,-0.605359,11.058874,10.388103,10.087724,,-94335564.0
1880,-0.744734,11.29713,10.370016,10.302062,13.465471,-80212050.0
2287,-0.897774,12.203183,11.446935,10.879405,14.380354,-79896313.0
2157,-0.463766,8.146709,7.458186,7.241366,10.383627,-99703113.0
1058,-0.861113,9.558459,8.453401,8.270781,11.372755,-83419681.0
118,-0.648506,9.496872,8.4362,8.567316,,-91114974.0
1024,-0.765258,9.482122,8.324821,8.513988,11.343607,-84659333.0
1444,-0.459487,9.122165,8.152774,8.155936,10.974403,-89715441.0
281,-0.51348,13.243488,12.667905,12.019159,,-72900347.0
1618,-0.406533,8.714732,8.216628,7.807917,10.653747,-98071526.0
2421,-0.770233,10.455129,9.603733,9.431722,12.529695,-83266137.0
968,-0.69016,9.308465,8.085795,8.19257,,-83321826.0
1582,-0.383401,8.461469,7.996654,7.539027,10.702143,-112105376.0
1427,-0.525587,9.667005,8.795582,8.739216,,-89920939.0
1732,-0.528064,12.18373,11.651478,11.002616,,-71716873.0
155,-0.546824,9.419872,8.553139,8.441607,,-93406902.0
304,-0.630437,12.021861,11.389243,10.929619,,-87332598.0
1988,-0.421044,8.473659,7.876638,7.499977,10.538741,-97663940.0
2657,-0.459589,7.293698,6.535241,6.45047,9.355652,-100789278.0
2423,-0.671195,8.490028,7.057898,7.504942,,-83219764.0
2322,-0.605788,10.104835,9.066355,9.062188,,-79727888.0
2916,-1.111844,9.102421,8.024535,6.824374,11.090294,-76706855.0
575,-0.381676,8.955061,8.21284,8.073715,11.131621,-88239683.0
2018,-0.671215,10.096667,9.44715,9.044404,,-83807878.0
2665,-0.705655,10.941571,10.267644,9.947457,,-93894312.0
2718,-0.70472,10.040812,9.205629,9.150166,,-95835238.0
2482,-0.921302,9.554143,8.53287,8.64365,11.508676,-85454978.0
2918,-0.593031,9.064389,8.466952,8.006701,,-118556910.0
843,-0.632264,9.571714,9.040382,8.594154,,-91716737.0
2933,-0.383354,9.391578,9.009692,8.475746,11.72572,-123575786.0
269,-0.044531,6.352629,5.950643,5.236442,8.526945,-107667201.0
629,-0.542476,11.875198,11.296037,10.816372,,-89759057.0
1033,-0.701878,9.370246,8.368693,8.362175,,-85269585.0
286,-0.537859,12.573368,12.028219,11.4478,,-75638048.0
2293,-0.866624,10.645115,9.695048,9.588503,12.683635,-79955347.0
300,-0.856261,14.027216,13.41662,12.714476,16.345405,-80502124.0
2441,-0.823783,9.860841,8.940891,8.843615,11.856295,-86588480.0
1953,-0.33954,9.241451,8.598589,8.160232,11.371719,-98069757.0
1423,-0.499704,8.978156,7.775696,7.862112,,-90287133.0
65,-0.234945,9.125218,8.055475,8.052933,10.886913,-87308887.0
2302,-0.599265,9.395907,8.362409,8.376551,,-81143056.0
890,-0.55389,10.019803,9.494842,8.961623,,-97424917.0
1611,-0.308258,8.263333,7.752335,7.271009,10.519133,-111688806.0
2290,-0.953975,10.161612,9.076009,9.151757,12.156404,-80158797.0
1867,-0.716671,10.316822,9.561701,9.340842,,-76504367.0
1322,-0.374627,9.791494,9.189321,8.833608,12.046713,-94556724.0
230,-0.332267,7.037906,6.421622,6.148468,9.096275,-108521796.0
503,-0.653599,8.403352,7.068172,7.390181,,-82676369.0
1954,-0.351728,8.5368,7.775696,7.495542,10.581166,-99361521.0
3011,-0.714504,10.065649,8.986697,9.121072,,-81541200.0
1562,-0.633576,8.859079,8.215547,7.662938,,-107489759.0
2371,-0.225076,7.908019,7.239215,6.995766,9.661925,-97609958.0
1004,-0.657901,9.296426,8.376781,8.192294,,-84332239.0
836,-0.42655,10.9552,10.279181,9.533293,13.133562,-93466437.0
2229,-0.671815,10.194701,9.581697,9.238831,,-78650566.0
374,-0.69663,9.095715,8.198914,8.134761,,-81637831.0
1591,-0.41328,7.826044,7.31055,6.863803,9.993191,-114980755.0
2190,-0.452288,10.200699,9.740145,9.204523,12.485653,-123908152.0
1926,-0.567859,9.199987,8.538172,8.288534,,-82166223.0
1945,-0.684974,9.20954,8.269501,8.16166,,-76564706.0
2149,-0.674871,10.239102,9.631679,9.320718,,-96395836.0
751,-0.348412,9.807252,9.283963,8.936561,12.089977,-85503942.0
99,-0.725057,9.503383,8.483016,8.430327,,-90771434.0
2028,-0.757734,9.870241,9.140561,8.756525,11.972721,-83450830.0
866,-0.63293,8.822175,8.190632,7.901748,,-95734573.0
910,-0.434275,8.15651,7.646354,7.224753,10.282335,-100359257.0
1432,-0.615032,9.519662,8.552174,8.35538,,-89940116.0
529,-0.371184,9.390242,8.844913,8.390723,11.531698,-113610880.0
636,-0.526908,10.175116,9.38949,9.147614,,-89821295.0
185,-0.589735,14.157056,13.719908,12.93627,,-117777399.0
1289,-0.310144,9.746424,9.195125,8.867287,12.027634,-92908553.0
1789,-0.709906,10.571112,9.904187,9.648789,,-106804756.0
931,-1.084782,10.814987,9.996249,9.076923,12.804939,-96727320.0
2907,-0.886868,9.290445,8.209308,7.826044,11.276595,-80558897.0
2381,-0.251229,7.420579,6.84375,6.475433,9.64724,-100748171.0
1512,-0.652728,9.279493,8.228978,8.206856,,-89294950.0
2487,-0.764256,10.687252,9.870138,9.654577,12.898537,-94606858.0
2766,-0.087163,7.088409,6.618739,6.23637,9.09762,-110897030.0
607,-0.530032,11.305545,10.647993,10.30665,,-88884873.0
1456,-0.599961,11.067341,10.420136,10.026059,,-94806022.0
151,-0.442593,9.189627,8.429454,8.348775,11.062144,-92519040.0
1392,-0.621358,9.590009,8.474703,8.683385,,-88359049.0
2223,-0.867352,10.260847,9.575747,9.198875,12.33359,-77636720.0
731,-0.626068,9.525662,8.615408,8.604105,,-85744206.0
1450,-0.443203,9.789647,9.090656,8.918784,11.775828,-93831493.0
2113,-0.566618,9.758693,8.991811,8.878497,,-94802479.0
2827,-0.667777,9.627602,8.70963,8.604654,,-76711212.0
23,-0.670154,10.476414,9.644069,9.256365,,-87109517.0
1793,-0.571469,11.971002,11.392135,10.824228,,-75819672.0
158,-0.428028,9.604812,9.197964,8.628556,11.812778,-120655265.0
861,-0.507197,9.683153,9.00036,8.815518,,-94845511.0
902,-0.846397,10.566923,10.044987,9.325007,12.805022,-95038054.0
2579,-0.815485,10.125671,9.289059,8.975377,12.266556,-101826044.0
1230,-0.67537,10.613983,9.716857,9.282847,,-84838322.0
2339,-0.355388,8.346642,7.808323,7.328437,10.486931,-103456829.0
444,-0.642716,8.44247,7.372118,7.441907,,-82452133.0
3040,-0.374435,9.59927,8.918918,8.683893,11.675019,-90112162.0
754,-0.465953,9.258654,8.626227,8.296796,11.293326,-91373077.0
923,-0.488026,8.701679,8.273592,7.732808,,-99232234.0
3076,-0.433029,10.859172,10.271977,9.741557,13.140879,-88541597.0
2988,-0.401064,9.112507,8.31801,8.213924,11.024611,-80544308.0
311,-0.55385,8.649449,7.757906,7.707962,,-82948911.0
548,-0.411039,10.075254,9.570669,9.026177,12.355389,-116746277.0
2276,-0.55136,12.97225,12.192694,11.617177,,-71579802.0
2397,-0.663501,8.910721,7.94094,7.981392,,-86062841.0
306,-0.450936,8.577159,7.591862,7.673223,10.48142,-84816733.0
287,-0.64014,11.169139,10.442667,10.214459,,-75341817.0
694,-0.451312,10.127711,9.589256,9.168997,12.391602,-85493672.0
308,-0.359178,8.29405,7.542744,7.44132,10.229368,-82802705.0
2406,-0.840518,9.271718,8.305978,8.311398,11.21709,-89132681.0
749,-0.520013,9.773891,9.217912,8.867568,,-85220403.0
1552,-0.483051,9.621788,8.77925,8.727292,,-91964120.0
1344,-0.311884,9.062884,8.303009,8.188133,11.105769,-95799492.0
1637,-0.531342,9.219796,8.72713,8.276395,,-99726684.0
908,-0.521886,9.246094,8.624073,8.314097,,-97097694.0
3002,-0.58842,9.365976,8.628556,8.405815,,-80047974.0
2466,-0.655249,8.678802,7.561642,7.720018,,-85412463.0
3042,-0.312141,9.501666,8.845057,8.562358,11.740523,-87440146.0
2584,-0.697108,10.224592,9.481283,9.342684,,-94393144.0
970,-0.76767,10.207215,9.371523,9.31416,12.413392,-85695106.0
13,-0.506081,9.162515,8.230044,8.1898,,-85859858.0
873,-0.621394,10.888968,10.191819,9.471165,,-95286933.0
808,-0.431077,11.698409,11.231384,10.692513,14.133352,-91594893.0
2671,-0.766202,9.766808,8.849084,8.83521,11.812267,-94830439.0
514,-0.333177,11.701585,11.281674,10.699417,14.109204,-116243102.0
2500,-0.420276,8.161375,7.434257,7.229839,10.303639,-98399450.0
409,-0.617811,9.288412,8.265136,8.422223,,-84319284.0
1477,-0.432801,8.69768,8.110127,7.774856,10.731777,-94404523.0
2345,-0.204998,8.18228,7.452402,7.267525,10.038018,-99209666.0
3062,-0.303706,9.312175,8.67744,8.44247,11.324847,-90361480.0
1338,-0.37714,12.734834,12.238714,11.565034,15.154527,-93099608.0
1455,-0.696938,11.264067,10.583347,9.898274,,-92308160.0
1536,-0.634482,9.103534,7.974189,8.208492,,-90866399.0
382,-1.094264,10.459726,9.628919,9.535463,12.700229,-84474300.0
1896,-0.674651,10.681642,10.061346,9.765833,,-82481060.0
2269,-0.6976,10.134917,9.511185,9.195227,,-75306389.0
2845,-0.567306,8.940629,8.049108,8.096513,,-76379084.0
2001,-0.463424,9.308193,8.541691,8.309185,11.291006,-97722817.0
1468,-0.500591,8.693161,8.012018,7.791523,,-91742061.0
552,-0.319003,8.371936,7.859027,7.418181,10.618201,-112837967.0
222,-0.205721,7.327781,6.849066,6.424869,9.408535,-102587596.0
1096,-0.503185,9.688002,8.630879,8.718173,,-91672716.0
2691,-0.541646,7.572503,6.786717,6.628041,,-100538965.0
8,-0.832006,10.216216,9.258368,9.220489,12.21927,-85389802.0
2938,-0.542752,10.575028,10.017441,9.616072,,-122398304.0
316,-0.830169,13.062465,12.440829,11.977313,15.279574,-82346095.0
1328,-0.347759,9.868741,9.251098,8.760296,12.070757,-94245463.0
427,-0.731733,9.466454,8.334952,8.513587,11.450688,-82959161.0
2529,-0.827356,9.52537,8.506941,8.558143,11.731113,-96518732.0
105,-0.545727,8.902047,8.059592,8.051022,,-91818910.0
1498,-0.62182,9.757652,9.003193,8.845057,,-92594732.0
142,-0.624781,9.882672,8.893023,8.677951,,-90747325.0
121,-0.623287,9.145268,8.323366,8.230577,,-94235637.0
2457,-0.681883,8.392537,7.409136,7.514255,,-87868156.0
2966,-0.722081,10.614204,9.655795,9.643356,,-81087168.0
1189,-0.340692,8.291547,7.961021,7.284135,10.83573,-70126661.0
2050,-0.60679,10.222196,9.631088,9.299084,,-83770366.0
2937,-0.558069,9.303831,8.751316,8.274357,,-120789119.0
2033,-0.630869,11.427215,10.914379,10.349679,,-83886488.0
115,-0.731429,11.041913,10.2726,9.93518,13.115886,-91929077.0
2981,-0.603863,10.787668,10.120372,9.798016,,-80242751.0
1717,-0.667199,7.929126,7.261927,6.834109,,-117026495.0
2430,-0.736826,9.298992,8.208764,8.340456,11.229846,-87474381.0
2897,-0.726931,10.829966,10.058224,9.602653,,-79191434.0
3052,-0.424903,13.472888,12.880781,12.181478,15.853294,-87671417.0
1726,-0.641502,10.079456,9.665991,8.930097,,-119743243.0
1937,-0.793163,10.666604,9.609049,9.714685,12.731759,-80686903.0
672,-0.334767,8.824384,7.926964,7.993958,10.824348,-86456196.0
1736,-0.601114,10.157665,9.573176,9.126415,,-72224592.0
1760,-0.648509,10.482486,9.841719,9.460165,,-104468714.0
1811,-0.536022,10.771974,10.132255,9.738377,,-74958575.0
591,-0.49017,9.757363,9.201804,8.816705,,-91168870.0
1518,-0.551714,10.2726,9.646399,9.366061,,-94331550.0
888,-0.285316,7.511525,7.04316,6.630683,9.658865,-101793222.0
2589,-0.834815,10.329507,9.312987,8.934455,12.304786,-98029527.0
1480,-0.79137,10.144078,9.118115,9.121291,12.078387,-90089776.0
2161,-0.571358,10.361229,9.707777,9.460943,,-97855732.0
213,-0.892119,10.446829,9.756842,9.16157,12.526238,-121352619.0
778,-0.46933,8.9118,8.206856,7.849714,,-93783594.0
1800,-0.500173,10.676508,10.071414,9.615139,,-73630358.0
800,-0.554282,9.631548,8.976894,8.662851,,-90576042.0
2570,-0.532425,9.234935,8.488588,8.349484,,-98949835.0
3001,-0.691161,9.356257,8.457655,8.272315,,-80857020.0
2821,-0.646276,8.889033,7.588324,7.826044,,-77562483.0
2369,-0.605545,9.533655,8.995041,8.329899,,-102713481.0
2759,-0.258182,9.104535,8.675222,8.264621,11.298729,-111797045.0
2809,-0.759369,8.761393,7.838343,7.775276,10.868092,-76951431.0
1343,-0.272159,8.922658,8.24144,7.96137,11.092123,-96247936.0
273,-0.411293,8.629271,8.321665,7.718241,10.944753,-105154213.0
71,-0.611045,9.593355,8.872768,8.490849,,-109891347.0
2873,-0.716622,9.231613,8.274612,8.347353,,-76803864.0
1087,-0.505916,8.748146,7.689371,7.803027,,-93200050.0
394,-0.89409,9.478381,8.49167,8.317033,11.529527,-83771586.0
583,-0.439098,9.689428,8.881975,8.735847,11.805423,-89017804.0
2594,-0.762845,9.642318,8.722906,8.583543,11.815361,-102342916.0
2091,-0.62525,11.275734,10.624347,10.130264,,-83622380.0
2096,-0.39568,8.472196,7.990577,7.611348,10.807807,-100480776.0
500,-1.033866,10.590063,9.610592,9.641083,12.676829,-85296304.0
2573,-0.69264,9.37907,8.327001,8.330864,,-97494484.0
2623,-0.801945,10.311649,9.513108,9.292197,12.367783,-95570216.0
3085,-0.425494,8.986321,8.479284,8.015658,11.184019,-107987498.0
2838,-0.51061,8.731013,7.987864,7.887584,,-76279226.0
2894,-1.045647,9.71057,8.653994,7.985484,11.921765,-78873976.0
1259,-0.271643,8.837246,8.282989,7.982758,10.918936,-89271293.0
1737,-0.629855,11.870998,11.210509,10.733828,,-74636618.0
1878,-0.73745,8.976515,8.113127,8.056744,10.974986,-75943940.0
205,-0.796132,12.136915,11.457814,10.986902,14.450125,-120993750.0
733,-0.338017,9.518413,8.793309,8.552946,11.702959,-87010857.0
2104,-0.691565,9.392579,8.479491,8.4242,,-95553496.0
526,-0.053272,6.326149,5.983936,5.398163,8.47512,-114811001.0
2334,-0.334202,8.767796,8.043663,7.757906,10.595609,-98594708.0
898,-0.467838,8.787068,8.2247,7.832014,11.000832,-98135217.0
377,-0.837314,10.148314,9.386812,9.217217,12.296599,-85136429.0
1861,-0.651974,10.12491,9.289983,9.217713,,-78221373.0
2779,-0.488974,10.538767,10.024598,9.446519,,-72621309.0
2765,-0.283142,9.692087,9.243582,8.698681,11.751233,-113516741.0
386,-0.842843,8.373323,7.106606,7.206377,10.285923,-82702842.0
198,-0.675057,13.750335,13.303272,12.51928,,-121686315.0
1050,-0.820109,8.257904,6.855409,7.225481,9.730264,-83689385.0
590,-0.234081,8.838552,7.937017,7.979339,10.862263,-88540845.0
519,-0.344108,9.991865,9.467073,9.04935,12.144734,-112398441.0
2098,-0.604822,9.173469,8.494539,8.248791,,-98427986.0
2118,-0.683726,10.228465,9.502487,9.309009,,-97887040.0
429,-0.796589,10.126311,9.341807,9.164611,12.425092,-84155399.0
1083,-0.727975,10.906781,10.294008,9.791829,,-93602957.0
207,-0.59532,10.241138,9.723403,9.250522,,-122233448.0
491,-1.030394,10.020337,8.981807,8.870523,12.060012,-83526087.0
1446,-0.712544,9.873904,9.062304,8.650325,,-92598803.0
3014,-0.386605,10.222777,9.571017,9.261509,12.299558,-91852830.0
792,-0.473261,9.187993,8.667508,8.233769,,-93742557.0
2583,-0.71426,8.443116,7.569412,7.546446,,-99745284.0
1186,-0.586063,12.685219,12.084182,11.459862,,-72634099.0
1185,-0.459424,10.772435,10.289396,9.66922,12.965745,-72591287.0
3065,-0.460466,11.482662,10.933482,10.443192,13.839674,-89068438.0
1454,-0.364072,8.902047,7.837554,8.034631,10.712238,-90027891.0
2314,-0.929044,10.445986,9.490771,9.48052,12.546701,-83067436.0
1410,-0.555446,9.847182,8.768108,8.774004,,-89509467.0
83,-0.346849,9.972407,9.324651,9.155673,11.96242,-92339841.0
2728,-0.763128,9.368881,8.529517,8.30028,11.540258,-99241684.0
2308,-0.457579,9.418817,8.268219,8.324336,11.300536,-80253474.0
20,-0.64011,9.207236,8.066835,8.198089,,-86311599.0
2071,-0.694837,11.477744,10.831529,10.354181,,-81197599.0
2581,-0.68454,8.776167,7.891331,7.911324,,-98110174.0
1405,-0.687905,10.21123,9.147507,8.78048,,-90297653.0
2069,-0.696306,10.323381,9.630694,9.213934,,-83032285.0
2957,-0.511164,9.377041,8.461046,8.405815,,-79998348.0
3060,-0.328153,10.027871,9.473781,9.11482,12.141395,-92442921.0
973,-0.678327,10.067985,9.220489,8.97094,,-88273921.0
2889,-0.482302,8.949884,8.669056,7.727535,,-77174558.0
883,-0.340307,7.96346,7.473637,7.059618,10.16138,-99880425.0
1098,-0.512327,10.640077,9.698368,9.545311,,-91784931.0
156,-0.684343,13.626663,13.151874,12.328896,,-121913948.0
2362,-0.306388,8.980927,8.332549,7.913887,10.962562,-97121663.0
886,-0.318358,7.171657,6.679599,6.242223,9.434923,-101804358.0
3105,-0.484777,8.75274,8.284504,7.767264,,-107684285.0
1721,-0.549891,8.77137,8.244071,7.736744,,-116451089.0
3067,-0.292146,10.281444,9.774631,9.286838,12.629901,-92446895.0
2396,-0.84004,10.094397,8.949755,9.102867,11.971622,-84146314.0
2626,-0.447283,8.165079,6.760415,7.111512,10.05985,-99100392.0
